Business_Name,Bcontact,Image_link,Business_Links
Sunanda Veg Caterers,+91 9849019955,http://www.yellowpages.in/assets/business/t_default.png,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/sunanda-veg-caterers-safilguda-hyderabad/101525829
Chawla Essence Mart,+91 40 27812061,http://www.yellowpages.in/assets/business/295966646/f-295966646-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/chawla-essence-mart-secunderabad-hyderabad/573081513
S.S. Flour Mill,+91 9703673286,http://www.yellowpages.in/assets/business/525848072/f-525848072-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/ss-flour-mill-toli-chowki-hyderabad/830766677
Kikaboni Organic Store,+91 9949825000,http://www.yellowpages.in/assets/business/389389411/f-389389411-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/kikaboni-organic-store-manikonda-hyderabad/667478928
Balaji Grand Bazar,+91 9581365395,http://www.yellowpages.in/assets/business/933728775/f-933728775-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/balaji-grand-bazar-kondapur-hyderabad/593456806
Sampoorna Super Market,+91 9705975777,http://www.yellowpages.in/assets/business/146589203/f-146589203-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/sampoorna-super-market-shaikpet-hyderabad/874433979
More Super Market,+91 9912226240,http://www.yellowpages.in/assets/business/2468/f-2468-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/more-super-market-shaikpet-hyderabad/235944075
Udayashree Megharaj Sweets,+91 9849533129,http://www.yellowpages.in/assets/business/267428117/f-267428117-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/udayashree-megharaj-sweet-shop-narayanguda-hyderabad/315572672
Kirana Ghar,+91 9030788504,http://www.yellowpages.in/assets/business/2466/f-2466-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/kirana-ghar-punjagutta-hyderabad/493290284
Naheed Fruits & Juice Centre,+91 9959062786,http://www.yellowpages.in/assets/business/2428/f-2428-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/naheed-fruitsjuice-centre-mehdipatnam-hyderabad/826199561
Srinidhi Dry Fruits & Spices,+91 9030906039,http://www.yellowpages.in/assets/business/2446/f-2446-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/srinidhi-dry-fruits-spices-kukatpally-hyderabad/345756835
M Hospitality,+91 9346252525,http://www.yellowpages.in/assets/business/t_default.png,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/m-hospitality-ameerpet-hyderabad/992820987
Sansar Kirana & General Store,+91 9703271822,http://www.yellowpages.in/assets/business/2470/f-2470-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/sansar-kirana-general-store-toli-chowki-hyderabad/363360792
More Super Market,+91 9912226108,http://www.yellowpages.in/assets/business/2473/f-2473-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/more-super-market-barkatpura-hyderabad/258449111
Anusha Super Market,+91 9866256181,http://www.yellowpages.in/assets/business/2474/f-2474-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/anusha-super-market-gudi-malkapur-hyderabad/402067031
Makarand Sweets,+91 9885300009,http://www.yellowpages.in/assets/business/472411110/f-472411110-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/makarand-sweets-kondapur-hyderabad/740686558
Spoorthi Super Market,+91 9704096600,http://www.yellowpages.in/assets/business/2467/f-2467-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/spoorthi-super-market-kukatpally-hyderabad/677042337
Amrutha Swagruha Foods,+91 40 23061476,http://www.yellowpages.in/assets/business/754055075/f-754055075-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/amrutha-swagruha-foods-kukatpally-hyderabad/327482404
Vijay Milk House,+91 9490232741,http://www.yellowpages.in/assets/business/2357/f-2357-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/vijay-milk-house-attapur-hyderabad/302029518
Almonds For You (Almond House),+91 9000134442,http://www.yellowpages.in/assets/business/2435/f-2435-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/almonds-for-youalmond-house-himayat-nagar-hyderabad/662356554
Venkat Sai Dry Fruits & Spices,+91 9441070572,http://www.yellowpages.in/assets/business/2444/f-2444-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/venkat-sai-dry-fruits-spices-kukatpally-hyderabad/163946638
Value Mart Super Market,+91 040 65656033,http://www.yellowpages.in/assets/business/2472/f-2472-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/value-mart-super-market-kondapur-hyderabad/338417179
Mexican Fried Chicken,+91 9885372723,http://www.yellowpages.in/assets/business/1464/f-1464-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/mexican-fried-chicken-kukatpally-hyderabad/789577083
Almonds For You (Almond House),+91 9885104999,http://www.yellowpages.in/assets/business/2434/f-2434-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/almonds-for-youalmond-house-banjara-hills-hyderabad/730757669
Balaji Grand Bazar,+91 040 23390136,http://www.yellowpages.in/assets/business/2471/f-2471-t.jpg,https://www.http://yellowpages.in/hyderabad/food-and-beverages/b/balaji-grand-bazar-banjara-hills-hyderabad/496025036
